i,o,d,azimuth,arc,o_area,d_area,grid_dist
275,36,96,25.6779,15.9956,1.37207,2.42462,22.575
276,242,284,-126.966,19.2626,1.25847,0.522377,24.9527
277,174,352,-102.936,8.26403,0.726381,0.584284,8.6946
278,185,224,148.824,3.8157,2.0957,1.30501,4.69021
279,185,146,-119.524,9.69539,2.0957,2.00477,11.7368
280,219,228,170.779,5.39239,1.10468,1.10258,5.96996
282,400,142,51.802,14.6465,1.01401,1.42327,19.1172
283,63,24,-161.254,15.4151,2.01899,1.31149,21.4356
284,196,33,-104.379,19.6992,1.92511,1.50814,20.237
285,118,267,90.9978,21.3476,1.94024,2.46927,26.7022
286,329,436,22.4272,14.2183,0.651551,1.14058,19.9605
287,371,203,55.7445,22.807,1.05725,1.07847,28.851
288,298,50,-124.251,18.6714,0.995029,0.834076,23.6445
289,70,179,60.94,16.8678,1.2516,1.13492,20.2848
290,166,278,-78.514,19.37,0.857722,2.04678,26.1647
292,120,9,162.797,6.00753,2.06116,2.0817,6.13605
293,282,184,44.2347,18.4557,1.23016,1.09386,25.209
294,279,425,-122.085,21.1683,1.53179,0.521493,26.302
295,3,389,120.848,21.9963,2.23449,1.21783,31.1398
296,289,11,-69.0704,15.2908,0.388329,1.46246,21.4486
297,34,384,114.044,15.0699,2.26404,0.557479,21.2729
299,42,365,101.172,10.5299,1.65002,0.591069,14.2089
300,400,103,20.6373,18.1211,1.01401,3.08273,25.3396
301,416,274,-78.8338,16.4401,0.583255,1.58257,22.1709
302,126,382,92.1362,2.10853,0.434154,0.749775,2.66471
303,194,428,-129.903,20.9205,0.952134,1.51572,27.6648
304,49,276,-116.429,5.00784,2.11431,1.02744,5.84315
305,453,28,-110.103,31.6546,1.82795,1.11409,34.0401
306,394,428,-76.1263,11.2828,1.92365,1.51572,15.4296
307,409,260,48.6994,18.7933,0.633566,1.56686,25.0679
308,382,385,-159.882,3.91951,0.749775,1.08795,5.47174
309,29,406,89.1201,13.0252,2.01379,0.414504,16.011
310,16,244,51.9326,33.8254,1.12874,1.56793,44.1092
311,208,13,-105.467,24.3621,1.42226,1.81345,24.564
312,406,416,-14.5333,1.08449,0.414504,0.583255,1.10889
313,37,227,68.4685,24.0216,1.88734,1.34559,26.2827
314,231,374,-120.436,24.7668,0.854883,1.72157,30.2721
315,180,331,-169.734,16.2108,1.22113,0.714522,21.6691
316,14,58,155.984,10.1563,1.64898,1.69359,11.4659
318,386,177,29.9051,17.0669,0.554403,1.7717,24.1311
319,325,148,111.941,3.5695,1.40343,1.30889,5.01901
320,133,336,-156.155,4.13928,1.10109,0.431237,5.82679
321,170,447,31.4773,5.2652,0.560438,1.37388,7.4398
322,365,253,36.7775,24.4061,0.591069,1.5057,34.2165
324,248,382,-125.057,15.9138,1.60443,0.749775,20.3034
326,341,123,175.663,3.01458,0.54993,0.710437,3.55494
327,57,61,175.485,4.49101,1.56687,0.631792,5.28846
329,380,251,66.818,21.9703,0.897464,2.17766,24.6128
330,376,124,119.387,6.3448,0.657116,0.561576,8.98762
331,357,394,162.847,3.1649,0.463599,1.92365,3.23223
332,76,355,42.239,10.3008,1.75694,1.57198,14.191
333,85,168,134.75,13.1412,3.06446,1.01711,17.9058
334,134,342,-170.101,13.7186,2.50664,0.647644,18.3046
336,228,447,-139.383,6.43461,1.10258,1.37388,8.92465
337,61,76,36.0511,2.43594,0.631792,1.75694,3.41972
338,390,445,-106.944,2.66169,0.918978,0.932443,2.71737
339,291,287,-24.8417,6.21431,1.75412,2.13127,7.10322
340,9,27,-73.6842,11.2013,2.0817,2.13493,15.4832
341,213,79,-92.872,17.2655,1.57228,0.655888,20.7446
342,272,237,96.7944,28.9416,1.78619,1.51771,37.9961
343,449,113,49.0404,12.3874,1.67726,0.978771,16.4897
344,103,341,165.668,10.2464,3.08273,0.54993,10.5217
346,300,138,-32.4033,9.6702,1.24199,1.70384,12.0245
347,109,117,170.469,6.3687,0.949118,0.856662,7.03259
348,77,302,-61.3,7.1186,1.59963,1.90947,10.084
349,366,300,88.1462,4.06507,0.411545,1.24199,4.94203
350,26,271,79.2923,34.9287,1.11083,2.01715,38.0955
352,401,326,43.7208,7.68004,0.703904,1.63793,10.5202
353,195,409,-99.5918,4.74452,1.31998,0.633566,5.24499
354,202,72,-132.221,21.9748,1.93161,0.812467,29.481
356,129,453,52.8716,22.6329,0.559703,1.82795,29.3294
357,201,362,-103.849,12.3058,1.20268,0.616388,12.7508
358,93,140,56.6681,7.02324,0.931073,1.20027,8.81373
359,258,169,-134.694,14.1775,0.83414,1.66194,19.2822
