i,o,d,azimuth,arc,o_area,d_area,grid_dist,o_km_from_sub,d_km_from_sub,crosses_sub,real_flow,weight
142917,431,175,-136.576,5.73721,0.860499,2.4046,7.86994,3.09592,4.56898,FALSE,26.3905,9.96105913442249e-6
103516,265,403,-170.324,7.72111,1.58783,0.870607,10.2837,1.25016,0.739885,FALSE,16.8571,4.148591641125414e-6
187753,268,348,-130.019,12.8383,1.79775,1.23506,17.0013,6.7236,0.900689,TRUE,3.61556,3.949969254425757e-6
191690,300,417,-79.7067,4.72674,1.24199,0.3888,6.3413,2.11144,0.00839192,TRUE,42.4805,2.9586152525096277e-6
7763,58,15,-51.9306,4.88753,1.69359,2.01683,6.83378,0.0953265,4.5956,TRUE,22.6255,1.888456766598238e-5
154999,93,306,-152.315,2.91184,0.931073,0.696683,4.11571,3.26742,1.8997,FALSE,47.8958,6.801259150830306e-6
107217,193,134,-31.509,14.4674,1.10524,2.50664,17.8393,0.347087,2.96603,FALSE,0,4.353224885332604e-6
92057,171,159,-16.1362,8.21977,2.37226,1.83512,8.25437,4.89694,4.66913,FALSE,7.99207,1.967374162474043e-5
183527,257,261,166.745,3.84134,2.53664,2.80345,4.0022,5.10715,5.06493,FALSE,14.7914,7.726436824240614e-5
152701,15,45,70.5449,3.78612,2.01683,1.86499,4.015,4.5956,4.09431,FALSE,10.0489,4.070016496243711e-5
187155,420,380,129.261,1.99931,0.595007,0.897464,2.78564,2.96656,1.3045,FALSE,34.6488,8.043545290191368e-6
56299,15,293,62.0034,19.2347,2.01683,2.59383,22.849,4.5956,3.85785,TRUE,0,4.492440238329095e-6
19896,114,151,-16.9414,9.28313,1.6684,2.26984,9.45218,2.99795,3.99399,FALSE,3.4298,1.3147083510345569e-5
38522,334,20,-37.4632,12.0752,0.373082,2.62577,15.669,0.87016,6.4381,FALSE,0,1.970904268011975e-6
200419,114,356,-152.72,4.1443,1.6684,1.09758,5.85637,2.99795,0.0349412,TRUE,11.9505,1.2639773517192825e-5
166231,362,90,-15.7708,8.25738,0.616388,1.73222,8.27249,0.0263124,1.06682,TRUE,13.5274,4.808808323368006e-6
197045,134,151,123.175,2.70319,2.50664,2.26984,3.81892,2.96603,3.99399,FALSE,7.87458,6.553697653121321e-5
124156,227,179,-110.877,5.04063,1.34559,1.13492,5.4786,1.31175,1.59154,TRUE,19.4398,1.1506676032016955e-5
43460,133,213,94.0407,11.5545,1.10109,1.57228,14.8405,1.38857,0.670635,TRUE,19.0034,3.635980750141668e-6
102629,246,327,-37.9093,4.23708,0.717982,2.56219,5.52377,4.37336,6.84414,FALSE,21.1643,1.3723193904567086e-5
57306,62,18,-115.193,5.53853,1.69933,1.84612,6.36653,5.06904,5.82835,FALSE,6.10079,1.910632658804326e-5
86304,33,450,65.7579,12.5555,1.50814,1.27784,14.2548,4.00902,0.485445,TRUE,0,4.234267831500593e-6
30191,9,322,-130.726,9.56379,2.0817,2.00078,12.7075,1.25878,3.81077,TRUE,0,1.0980806284414919e-5
107985,56,163,78.0172,13.5727,1.78471,2.48688,14.5192,5.02113,5.11225,FALSE,12.5825,9.51782772765572e-6
181348,165,331,63.4356,2.1123,0.482888,0.714522,2.47236,1.66173,1.31215,FALSE,51.0643,5.440671364872385e-6
154569,272,302,121.904,3.18083,1.78619,1.90947,4.4992,10.9957,8.40987,FALSE,66.6819,3.200777260017215e-5
172545,67,76,24.3237,4.62951,2.54402,1.75694,6.52225,4.63756,1.37732,FALSE,16.7285,2.627655769207373e-5
19326,52,171,90.8466,13.6116,2.98113,2.37226,17.0106,4.24265,4.89694,TRUE,0,1.2565019804173688e-5
3064,398,67,162.814,2.64308,1.57458,2.54402,2.69598,1.99835,4.63756,FALSE,9.64029,6.123146985305151e-5
146344,8,125,99.8274,13.5808,1.66732,2.08132,18.1866,9.66946,1.10411,TRUE,0,5.218298763866602e-6
53004,394,97,-94.6717,7.16373,1.92365,1.2841,8.43974,1.0334700000000001,1.80974,FALSE,31.7055,1.0761495131437297e-5
35874,26,120,50.6101,12.0263,1.11083,2.06116,15.8292,8.26656,2.52033,FALSE,0,4.5600459560790856e-6
147744,213,191,-64.3037,3.22415,1.57228,2.08683,4.55976,0.670635,2.13796,TRUE,16.0405,3.030391659690913e-5
49341,312,283,64.8196,9.25756,1.37693,1.97874,10.6355,8.26685,0.904707,TRUE,19.7258,7.842938737650692e-6
164628,8,20,73.1364,3.34371,1.66732,2.62577,3.40005,9.66946,6.4381,FALSE,27.416,5.7300741340339096e-5
