Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1510052700,26.4,2.611,27.273,2.611,36.018,15.134
1510052760,35.018,8.734,34.857,8.734,35.018,14.134
1510052820,34.018,7.734,33.857,7.734,34.018,13.134
1510052880,33.018,6.734,32.857,6.734,33.018,12.134
1510052940,32.018,5.734,31.857,5.734,32.018,11.134
1510053000,31.018,4.734,30.857,4.734,38.735,16.815
1510053060,30.018,3.734,29.857,3.734,37.735,15.815
1510053120,29.018,2.734,28.857,2.734,36.735,14.815
1510053180,28.018,1.734,27.857,1.734,35.735,13.815
1510053240,27.018,3.217,26.857,3.217,34.735,12.815
1510053300,26.018,2.217,25.857,2.217,33.735,11.815
1510053360,32.735,5.658,29.557,5.658,32.735,10.815
1510053420,31.735,4.658,28.557,4.658,44.838,22.117
1510053480,30.735,3.658,27.557,3.658,43.838,21.117
1510053540,29.735,2.658,26.557,2.658,42.838,20.117
1510053600,41.838,7.877,34.957,7.877,41.838,19.117
1510053660,40.838,6.877,33.957,6.877,40.838,18.117
1510053720,39.838,5.877,32.957,5.877,39.838,17.117
1510053780,38.838,4.877,31.957,4.877,38.838,16.117
1510053840,37.838,3.877,30.957,3.877,37.838,15.117
1510053900,36.838,2.877,29.957,2.877,36.838,14.117
1510053960,35.838,1.877,28.957,1.877,35.838,13.117
1510054020,34.838,4.015,32.657,4.015,34.838,12.117
1510054080,33.838,3.015,31.657,3.015,33.838,11.117
1510054140,32.838,2.015,30.657,2.015,40.791,17.591
1510054200,39.791,6.013,34.357,6.013,39.791,16.591
1510054260,38.791,5.013,33.357,5.013,38.791,15.591
1510054320,37.791,4.013,32.357,4.013,37.791,14.591
1510054380,36.791,3.013,31.357,3.013,36.791,13.591
1510054440,35.791,2.013,30.357,2.013,35.791,12.591
1510054500,34.791,6.613,34.057,6.613,34.791,11.591
1510054560,33.791,5.613,33.057,5.613,33.791,10.591
1510054620,32.791,4.613,32.057,4.613,38.893,16.298
1510054680,31.791,3.613,31.057,3.613,37.893,15.298
1510054740,30.791,2.613,30.057,2.613,36.893,14.298
1510054800,35.893,5.118,29.057,5.118,35.893,13.298
1510054860,34.893,4.118,28.057,4.118,34.893,12.298
1510054920,33.893,3.118,27.057,3.118,33.893,11.298
1510054980,32.893,2.118,26.057,2.118,34.704,12.773
1510055040,31.893,4.642,29.757,4.642,33.704,11.773
1510055100,30.893,3.642,28.757,3.642,32.704,10.773
1510055160,29.893,2.642,27.757,2.642,32.903,13.078
1510055220,31.903,6.428,31.457,6.428,31.903,12.078
1510055280,30.903,5.428,30.457,5.428,30.903,11.078
1510055340,29.903,4.428,29.457,4.428,37.062,15.586
1510055400,28.903,3.428,28.457,3.428,36.062,14.586
1510055460,27.903,2.428,27.457,2.428,35.062,13.586
1510055520,34.062,6.092,31.157,6.092,34.062,12.586
1510055580,33.062,5.092,30.157,5.092,33.062,11.586
1510055640,32.062,4.092,29.157,4.092,32.062,10.586
1510055700,31.062,3.092,28.157,3.092,35.381,13.734
1510055760,30.062,2.092,27.157,2.092,34.381,12.734
1510055820,33.381,4.996,30.857,4.996,33.381,11.734
1510055880,32.381,3.996,29.857,3.996,32.381,10.734
1510055940,31.381,2.996,28.857,2.996,32.67,11.781
1510056000,30.381,1.996,27.857,1.996,31.67,10.781
1510056060,30.67,5.665,31.557,5.665,42.931,18.265
1510056120,29.67,4.665,30.557,4.665,41.931,17.265
1510056180,28.67,3.665,29.557,3.665,40.931,16.265
1510056240,27.67,2.665,28.557,2.665,39.931,15.265
1510056300,26.67,1.665,27.557,1.665,38.931,14.265
1510056360,37.931,6.377,33.607,6.377,37.931,13.265
1510056420,36.931,5.377,32.607,5.377,36.931,12.265
1510056480,35.931,4.377,31.607,4.377,35.931,11.265
1510056540,34.931,3.377,30.607,3.377,37.571,15.045
1510056600,33.931,2.377,29.607,2.377,36.571,14.045
1510056660,32.931,5.392,30.957,5.392,35.571,13.045
1510056720,31.931,4.392,29.957,4.392,34.571,12.045
1510056780,30.931,3.392,28.957,3.392,33.571,11.045
1510056840,29.931,2.392,27.957,2.392,34.604,11.532
1510056900,33.604,6.791,31.657,6.791,33.604,10.532
1510056960,32.604,5.791,30.657,5.791,36.932,14.24
1510057020,31.604,4.791,29.657,4.791,35.932,13.24
1510057080,30.604,3.791,28.657,3.791,34.932,12.24
1510057140,29.604,2.791,27.657,2.791,33.932,11.24
1510057200,28.604,1.791,26.657,1.791,39.864,16.05
1510057260,31.932,3.316,28.007,3.316,38.864,15.05
1510057320,30.932,2.316,27.007,2.316,37.864,14.05
1510057380,36.864,5.618,35.407,5.618,36.864,13.05
1510057440,35.864,4.618,34.407,4.618,35.864,12.05
1510057500,34.864,3.618,33.407,3.618,34.864,11.05
1510057560,33.864,2.618,32.407,2.618,40.781,18.079
1510057620,39.781,6.876,33.757,6.876,39.781,17.079
1510057680,38.781,5.876,32.757,5.876,38.781,16.079
1510057740,37.781,4.876,31.757,4.876,37.781,15.079
1510057800,36.781,3.876,30.757,3.876,36.781,14.079
1510057860,35.781,2.876,29.757,2.876,35.781,13.079
1510057920,34.781,1.876,28.757,1.876,34.781,12.079
1510057980,33.781,5.061,30.107,5.061,33.781,11.079
1510058040,32.781,4.061,29.107,4.061,34.922,12.935
1510058100,31.781,3.061,28.107,3.061,33.922,11.935
1510058160,30.781,2.061,27.107,2.061,32.922,10.935
1510058220,31.922,4.81,30.807,4.81,32.523,11.001
1510058280,30.922,3.81,29.807,3.81,43.55,16.711
1510058340,29.922,2.81,28.807,2.81,42.55,15.711
1510058400,28.922,1.81,27.807,1.81,41.55,14.711
1510058460,40.55,7.574,33.857,7.574,40.55,13.711
1510058520,39.55,6.574,32.857,6.574,39.55,12.711
